word,difficulty
ліки,easy
температура,easy
спорт,easy
футбол,easy
басейн,easy
біг,easy
стрибок,easy
перемога,easy
програш,easy
питання,easy
відповідь,easy
слово,easy
ім'я,easy
номер,easy
колір,easy
звук,easy
запах,easy
смак,easy
тепло,easy
холод,easy
швидкість,easy
початок,easy
кінець,easy
адреса,normal
академія,normal
акваріум,normal
акцент,normal
алергія,normal
алфавіт,normal
амбіція,normal
анекдот,normal
апетит,normal
архітектор,normal
архів,normal
атмосфера,normal
банкрутство,normal
барометр,normal
батарея,normal
бібліотека,normal
біографія,normal
блискавка,normal
болото,normal
боротьба,normal
браузер,normal
будильник,normal
будівництво,normal
валюта,normal
варіант,normal
вегетаріанець,normal
веселка,normal
вибір,normal
вибух,normal
винахід,normal
виняток,normal
випадковість,normal
вирок,normal
вистава,normal
витривалість,normal
відбиток,normal
відпустка,normal
відстань,normal
відчуття,normal
візит,normal
вітрина,normal
влада,normal
власність,normal
водоспад,normal
волонтер,normal
ворота,normal
ворожіння,normal
враження,normal
вулкан,normal
галактика,normal
галерея,normal
гармонія,normal
гасло,normal
гімн,normal
гідність,normal
гіпотеза,normal
глядач,normal
графік,normal
гравітація,normal
громадянин,normal
гуртожиток,normal
дебати,normal
дедлайн,normal
декорація,normal
демократія,normal
детектив,normal
джерело,normal
діагноз,normal
діалект,normal
дієта,normal
доказ,normal
документ,normal
досвід,normal
дослідження,normal
доставка,normal
екватор,normal
екзамен,normal
екологія,normal
економія,normal
експедиція,normal
експеримент,normal
емоція,normal
енергія,normal
етикетка,normal
жертва,normal
жест,normal
журналіст,normal
забобон,normal
загадка,normal
заздрість,normal
замах,normal
запас,normal
зарплата,normal
застава,normal
зброя,normal
звичка,normal
землетрус,normal
змагання,normal
зміст,normal
знання,normal
знижка,normal
ідея,normal
ілюзія,normal
імунітет,normal
інстинкт,normal
інструкція,normal
інтерв'ю,normal
інтернет,normal
інтуїція,normal
історія,normal
камуфляж,normal
кар'єра,normal
катастрофа,normal
клімат,normal
колекція,normal
комета,normal
компас,normal
компроміс,normal
конкуренція,normal
контракт,normal
контраст,normal
конференція,normal
конфлікт,normal
кордон,normal
корупція,normal
космос,normal
кредит,normal
критика,normal
лабіринт,normal
легенда,normal
ліцензія,normal
логіка,normal
лотерея,normal
маршрут,normal
масштаб,normal
материк,normal
мелодія,normal
метеорит,normal
мистецтво,normal
мікроскоп,normal
міф,normal
можливість,normal
монета,normal
мотив,normal
музей,normal
нагорода,normal
надія,normal
назва,normal
настрій,normal
натовп,normal
натхнення,normal
небезпека,normal
незалежність,normal
несподіванка,normal
обіцянка,normal
обов'язок,normal
образа,normal
обставина,normal
океан,normal
операція,normal
оплески,normal
орбіта,normal
оренда,normal
оригінал,normal
острів,normal
пам'ятник,normal
парадокс,normal
парламент,normal
пароль,normal
пауза,normal
переклад,normal
перешкода,normal
печера,normal
підказка,normal
підпис,normal
підозра,normal
планета,normal
плітка,normal
повага,normal
поведінка,normal
повінь,normal
погроза,normal
податок,normal
подорож,normal
пожежник,normal
покарання,normal
покоління,normal
помилка,normal
порода,normal
посередник,normal
послуга,normal
потреба,normal
похвала,normal
почуття,normal
правило,normal
прапор,normal
прем'єра,normal
прибуток,normal
приватність,normal
пригода,normal
природа,normal
причина,normal
прогноз,normal
програма,normal
протест,normal
професія,normal
радість,normal
реклама,normal
рекорд,normal
репетиція,normal
репутація,normal
ризик,normal
рівновага,normal
розклад,normal
розкіш,normal
розмова,normal
розум,normal
самотність,normal
свобода,normal
свідок,normal
секрет,normal
сигнал,normal
символ,normal
система,normal
скарб,normal
скарга,normal
скульптура,normal
слава,normal
совість,normal
спадщина,normal
спогад,normal
спокуса,normal
співбесіда,normal
спільнота,normal
спостереження,normal
справедливість,normal
статистика,normal
стереотип,normal
стихія,normal
стратегія,normal
страхування,normal
сумнів,normal
супутник,normal
сюрприз,normal
таємниця,normal
талант,normal
телескоп,normal
терпіння,normal
традиція,normal
тривога,normal
туман,normal
увага,normal
угода,normal
указ,normal
українець,normal
університет,normal
успіх,normal
фантазія,normal
фестиваль,normal
формула,normal
характер,normal
хвиля,normal
хімія,normal
хоробрість,normal
художник,normal
цивілізація,normal
цитата,normal
чемпіонат,normal
черга,normal
чесність,normal
чутка,normal
шахрайство,normal
шедевр,normal
шпигун,normal
штраф,normal
штучність,normal
щедрість,normal
явище,normal
якість,normal
